Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
58,Entry Long,Entry Long,2020-04-19 23:00,178.78,16.2263,422.53,14.57,-1181.16,0.43,787.30,27.14,196.01,6.76
58,Exit Long,Entry Short,2020-05-06 06:00,204.82,16.2263,422.53,14.57,-1181.16,0.43,787.30,27.14,196.01,6.76
59,Entry Short,Entry Short,2020-05-06 06:00,204.82,14.4751,-80.63,-2.72,-1261.78,-0.08,121.45,4.1,170.66,5.76
59,Exit Short,Entry Long,2020-05-08 13:00,210.39,14.4751,-80.63,-2.72,-1261.78,-0.08,121.45,4.1,170.66,5.76
60,Entry Short,Entry Short,2020-05-06 07:00,205.30,14.4398,-73.50,-2.48,-1335.28,-0.07,128.08,4.32,163.31,5.51
60,Exit Short,Entry Long,2020-05-08 13:00,210.39,14.4398,-73.50,-2.48,-1335.28,-0.07,128.08,4.32,163.31,5.51
61,Entry Short,Entry Short,2020-05-06 14:00,207.43,14.2805,-42.27,-1.43,-1377.55,-0.04,157.09,5.3,131.09,4.43
61,Exit Short,Entry Long,2020-05-08 13:00,210.39,14.2805,-42.27,-1.43,-1377.55,-0.04,157.09,5.3,131.09,4.43
62,Entry Short,Entry Short,2020-05-06 15:00,207.53,14.2744,-40.82,-1.38,-1418.38,-0.04,158.45,5.35,129.61,4.38
62,Exit Short,Entry Long,2020-05-08 13:00,210.39,14.2744,-40.82,-1.38,-1418.38,-0.04,158.45,5.35,129.61,4.38
63,Entry Short,Entry Short,2020-05-08 01:00,208.13,14.2298,-32.16,-1.09,-1450.54,-0.03,1.71,0.06,120.67,4.07
63,Exit Short,Entry Long,2020-05-08 13:00,210.39,14.2298,-32.16,-1.09,-1450.54,-0.03,1.71,0.06,120.67,4.07
64,Entry Long,Entry Long,2020-05-08 13:00,210.39,14.0554,-270.71,-9.15,-1721.24,-0.27,64.80,2.19,270.71,9.15
64,Exit Long,Exit Long,2020-05-10 07:00,191.13,14.0554,-270.71,-9.15,-1721.24,-0.27,64.80,2.19,270.71,9.15
65,Entry Long,Entry Long,2020-05-10 02:00,211.11,14.0065,-279.85,-9.46,-2001.09,-0.28,30.67,1.04,279.85,9.46
65,Exit Long,Exit Long,2020-05-10 07:00,191.13,14.0065,-279.85,-9.46,-2001.09,-0.28,30.67,1.04,279.85,9.46
66,Entry Short,Entry Short,2020-05-10 16:00,191.09,15.3836,-125.53,-4.27,-2126.62,-0.13,232.14,7.9,229.68,7.81
66,Exit Short,Entry Long,2020-05-15 00:00,199.25,15.3836,-125.53,-4.27,-2126.62,-0.13,232.14,7.9,229.68,7.81
67,Entry Short,Entry Short,2020-05-11 05:00,189.05,15.5579,-158.69,-5.4,-2285.31,-0.16,203.03,6.9,264.02,8.98
67,Exit Short,Entry Long,2020-05-15 00:00,199.25,15.5579,-158.69,-5.4,-2285.31,-0.16,203.03,6.9,264.02,8.98
68,Entry Short,Entry Short,2020-05-12 09:00,187.38,15.7067,-186.44,-6.33,-2471.75,-0.19,9.58,0.33,292.77,9.95
68,Exit Short,Entry Long,2020-05-15 00:00,199.25,15.7067,-186.44,-6.33,-2471.75,-0.19,9.58,0.33,292.77,9.95
69,Entry Short,Entry Short,2020-05-12 10:00,188.06,15.6431,-175.05,-5.95,-2646.80,-0.18,20.18,0.69,280.95,9.55
69,Exit Short,Entry Long,2020-05-15 00:00,199.25,15.6431,-175.05,-5.95,-2646.80,-0.18,20.18,0.69,280.95,9.55
70,Entry Short,Entry Short,2020-05-12 11:00,188.57,15.6004,-166.61,-5.66,-2813.41,-0.17,28.08,0.95,272.23,9.25
70,Exit Short,Entry Long,2020-05-15 00:00,199.25,15.6004,-166.61,-5.66,-2813.41,-0.17,28.08,0.95,272.23,9.25
71,Entry Long,Entry Long,2020-05-15 00:00,199.25,14.6311,-99.93,-3.43,-2913.34,-0.1,260.73,8.94,111.05,3.81
71,Exit Long,Exit Long,2020-05-22 01:00,192.42,14.6311,-99.93,-3.43,-2913.34,-0.1,260.73,8.94,111.05,3.81
72,Entry Long,Entry Long,2020-05-15 10:00,199.44,14.6186,-102.62,-3.52,-3015.96,-0.11,257.73,8.84,113.73,3.9
72,Exit Long,Exit Long,2020-05-22 01:00,192.42,14.6186,-102.62,-3.52,-3015.96,-0.11,257.73,8.84,113.73,3.9
73,Entry Long,Entry Long,2020-05-15 11:00,199.42,14.6214,-102.35,-3.51,-3118.31,-0.11,258.07,8.85,113.46,3.89
73,Exit Long,Exit Long,2020-05-22 01:00,192.42,14.6214,-102.35,-3.51,-3118.31,-0.11,258.07,8.85,113.46,3.89
74,Entry Long,Entry Long,2020-05-17 01:00,198.72,14.6655,-92.39,-3.17,-3210.71,-0.1,269.11,9.23,92.39,3.17
74,Exit Long,Exit Long,2020-05-22 01:00,192.42,14.6655,-92.39,-3.17,-3210.71,-0.1,269.11,9.23,92.39,3.17
75,Entry Long,Entry Long,2020-05-18 16:00,212.31,13.8411,-275.30,-9.37,-3486.01,-0.28,50.38,1.71,275.30,9.37
75,Exit Long,Exit Long,2020-05-22 01:00,192.42,13.8411,-275.30,-9.37,-3486.01,-0.28,50.38,1.71,275.30,9.37
76,Entry Short,Entry Short,2020-05-22 14:00,200.14,14.4655,-104.73,-3.62,-3590.74,-0.11,0.14,0,159.99,5.53
76,Exit Short,Entry Long,2020-05-23 16:00,207.38,14.4655,-104.73,-3.62,-3590.74,-0.11,0.14,0,159.99,5.53
77,Entry Short,Entry Short,2020-05-22 15:00,201.82,14.3436,-79.75,-2.75,-3670.49,-0.08,13.91,0.48,134.54,4.65
77,Exit Short,Entry Long,2020-05-23 16:00,207.38,14.3436,-79.75,-2.75,-3670.49,-0.08,13.91,0.48,134.54,4.65
78,Entry Short,Entry Short,2020-05-22 17:00,202.45,14.2956,-70.48,-2.44,-3740.96,-0.07,18.73,0.65,125.09,4.32
78,Exit Short,Entry Long,2020-05-23 16:00,207.38,14.2956,-70.48,-2.44,-3740.96,-0.07,18.73,0.65,125.09,4.32
79,Entry Short,Entry Short,2020-05-22 18:00,203.20,14.2373,-59.51,-2.06,-3800.48,-0.06,29.33,1.01,113.90,3.94
79,Exit Short,Entry Long,2020-05-23 16:00,207.38,14.2373,-59.51,-2.06,-3800.48,-0.06,29.33,1.01,113.90,3.94
80,Entry Short,Entry Short,2020-05-22 19:00,203.22,14.2357,-59.22,-2.05,-3859.70,-0.06,29.61,1.02,113.60,3.93
80,Exit Short,Entry Long,2020-05-23 16:00,207.38,14.2357,-59.22,-2.05,-3859.70,-0.06,29.61,1.02,113.60,3.93
81,Entry Long,Entry Long,2020-05-23 16:00,207.38,13.9055,-35.46,-1.23,-3895.16,-0.04,44.08,1.53,130.29,4.52
81,Exit Long,Entry Short,2020-05-26 01:00,204.83,13.9055,-35.46,-1.23,-3895.16,-0.04,44.08,1.53,130.29,4.52
82,Entry Short,Entry Short,2020-05-26 01:00,204.83,14.0757,-241.82,-8.39,-4136.98,-0.25,111.62,3.87,241.82,8.39
82,Exit Short,Exit Short,2020-05-29 07:00,222.01,14.0757,-241.82,-8.39,-4136.98,-0.25,111.62,3.87,241.82,8.39
83,Entry Short,Entry Short,2020-05-27 13:00,203.53,14.1676,-261.82,-9.08,-4398.79,-0.27,13.46,0.47,261.82,9.08
83,Exit Short,Exit Short,2020-05-29 07:00,222.01,14.1676,-261.82,-9.08,-4398.79,-0.27,13.46,0.47,261.82,9.08
84,Entry Long,Entry Long,2020-05-29 18:00,218.16,13.147,108.46,3.78,-4290.33,0.11,468.56,16.34,7.76,0.27
84,Exit Long,Exit Long,2020-06-02 21:00,226.41,13.147,108.46,3.78,-4290.33,0.11,468.56,16.34,7.76,0.27
85,Entry Long,Entry Long,2020-05-31 11:00,237.33,12.1144,-132.29,-4.6,-4422.62,-0.14,199.52,6.94,132.29,4.6
85,Exit Long,Exit Long,2020-06-02 21:00,226.41,12.1144,-132.29,-4.6,-4422.62,-0.14,199.52,6.94,132.29,4.6
86,Entry Long,Entry Long,2020-05-31 22:00,233.89,12.283,-91.88,-3.2,-4514.50,-0.1,244.55,8.51,91.88,3.2
