Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
77,Entry Long,Entry Long,2020-05-15 09:15,200.88,14.9698,-126.64,-4.21,-257.34,-0.13,242.36,8.06,138.02,4.59
77,Exit Long,Exit Long,2020-05-22 01:45,192.42,14.9698,-126.64,-4.21,-257.34,-0.13,242.36,8.06,138.02,4.59
78,Entry Long,Entry Long,2020-05-15 10:00,199.44,15.0662,-105.76,-3.52,-363.11,-0.11,265.62,8.84,117.22,3.9
78,Exit Long,Exit Long,2020-05-22 01:45,192.42,15.0662,-105.76,-3.52,-363.11,-0.11,265.62,8.84,117.22,3.9
79,Entry Short,Entry Short,2020-05-22 04:45,200.10,14.938,-326.54,-10.92,-689.65,-0.33,57.66,1.93,326.54,10.92
79,Exit Short,Exit Short,2020-05-29 07:00,221.96,14.938,-326.54,-10.92,-689.65,-0.33,57.66,1.93,326.54,10.92
80,Entry Short,Entry Short,2020-05-22 13:45,199.47,14.9874,-337.07,-11.27,-1026.72,-0.34,38.52,1.29,337.07,11.27
80,Exit Short,Exit Short,2020-05-29 07:00,221.96,14.9874,-337.07,-11.27,-1026.72,-0.34,38.52,1.29,337.07,11.27
81,Entry Short,Entry Short,2020-05-22 14:30,201.24,14.8469,-307.63,-10.3,-1334.35,-0.31,64.44,2.16,307.63,10.3
81,Exit Short,Exit Short,2020-05-29 07:00,221.96,14.8469,-307.63,-10.3,-1334.35,-0.31,64.44,2.16,307.63,10.3
82,Entry Short,Entry Short,2020-05-22 15:15,201.48,14.8276,-303.67,-10.16,-1638.02,-0.31,67.91,2.27,303.67,10.16
82,Exit Short,Exit Short,2020-05-29 07:00,221.96,14.8276,-303.67,-10.16,-1638.02,-0.31,67.91,2.27,303.67,10.16
83,Entry Short,Entry Short,2020-05-22 16:00,201.70,14.8087,-300.02,-10.04,-1938.04,-0.31,71.08,2.38,300.02,10.04
83,Exit Short,Exit Short,2020-05-29 07:00,221.96,14.8087,-300.02,-10.04,-1938.04,-0.31,71.08,2.38,300.02,10.04
84,Entry Long,Entry Long,2020-05-29 18:15,218.64,13.4558,111.82,3.8,-1826.22,0.11,473.11,16.08,6.32,0.21
84,Exit Long,Exit Long,2020-06-02 21:15,226.95,13.4558,111.82,3.8,-1826.22,0.11,473.11,16.08,6.32,0.21
85,Entry Long,Entry Long,2020-05-31 10:45,236.95,12.4472,-124.47,-4.22,-1950.70,-0.13,209.74,7.11,124.47,4.22
85,Exit Long,Exit Long,2020-06-02 21:15,226.95,12.4472,-124.47,-4.22,-1950.70,-0.13,209.74,7.11,124.47,4.22
86,Entry Long,Entry Long,2020-05-31 11:30,236.65,12.458,-120.84,-4.1,-2071.54,-0.12,213.65,7.25,120.84,4.1
86,Exit Long,Exit Long,2020-06-02 21:15,226.95,12.458,-120.84,-4.1,-2071.54,-0.12,213.65,7.25,120.84,4.1
87,Entry Long,Entry Long,2020-05-31 22:00,233.89,12.5944,-87.41,-2.97,-2158.94,-0.09,250.75,8.51,87.41,2.97
87,Exit Long,Exit Long,2020-06-02 21:15,226.95,12.5944,-87.41,-2.97,-2158.94,-0.09,250.75,8.51,87.41,2.97
88,Entry Long,Entry Long,2020-05-31 22:45,233.17,12.631,-78.56,-2.67,-2237.51,-0.08,260.58,8.85,78.56,2.67
88,Exit Long,Exit Long,2020-06-02 21:15,226.95,12.631,-78.56,-2.67,-2237.51,-0.08,260.58,8.85,78.56,2.67
89,Entry Long,Entry Long,2020-06-02 22:00,234.14,12.516,-0.25,-0.01,-2237.76,0,202.01,6.89,99.38,3.39
89,Exit Long,Entry Short,2020-06-12 10:45,234.12,12.516,-0.25,-0.01,-2237.76,0,202.01,6.89,99.38,3.39
90,Entry Long,Entry Long,2020-06-02 22:45,233.53,12.5573,7.41,0.25,-2230.35,0.01,210.33,7.17,92.05,3.14
90,Exit Long,Entry Short,2020-06-12 10:45,234.12,12.5573,7.41,0.25,-2230.35,0.01,210.33,7.17,92.05,3.14
91,Entry Long,Entry Long,2020-06-04 13:00,243.37,12.0801,-111.74,-3.8,-2342.09,-0.11,83.47,2.84,207.42,7.06
91,Exit Long,Entry Short,2020-06-12 10:45,234.12,12.0801,-111.74,-3.8,-2342.09,-0.11,83.47,2.84,207.42,7.06
92,Entry Long,Entry Long,2020-06-04 16:45,239.95,12.2377,-71.35,-2.43,-2413.44,-0.07,126.42,4.31,168.27,5.73
92,Exit Long,Entry Short,2020-06-12 10:45,234.12,12.2377,-71.35,-2.43,-2413.44,-0.07,126.42,4.31,168.27,5.73
93,Entry Long,Entry Long,2020-06-04 18:15,239.62,12.2507,-67.38,-2.3,-2480.82,-0.07,130.59,4.45,164.40,5.6
93,Exit Long,Entry Short,2020-06-12 10:45,234.12,12.2507,-67.38,-2.3,-2480.82,-0.07,130.59,4.45,164.40,5.6
94,Entry Short,Entry Short,2020-06-12 10:45,234.12,12.4955,-94.09,-3.22,-2574.91,-0.1,198.05,6.77,159.57,5.45
94,Exit Short,Entry Long,2020-06-23 08:30,241.65,12.4955,-94.09,-3.22,-2574.91,-0.1,198.05,6.77,159.57,5.45
95,Entry Short,Entry Short,2020-06-12 14:30,235.66,12.4113,-74.34,-2.54,-2649.25,-0.08,215.83,7.38,139.38,4.77
95,Exit Short,Entry Long,2020-06-23 08:30,241.65,12.4113,-74.34,-2.54,-2649.25,-0.08,215.83,7.38,139.38,4.77
96,Entry Short,Entry Short,2020-06-12 15:15,237.13,12.3298,-55.73,-1.91,-2704.98,-0.06,232.54,7.95,120.34,4.12
96,Exit Short,Entry Long,2020-06-23 08:30,241.65,12.3298,-55.73,-1.91,-2704.98,-0.06,232.54,7.95,120.34,4.12
97,Entry Short,Entry Short,2020-06-12 16:00,237.07,12.3349,-56.49,-1.93,-2761.48,-0.06,231.90,7.93,121.13,4.14
97,Exit Short,Entry Long,2020-06-23 08:30,241.65,12.3349,-56.49,-1.93,-2761.48,-0.06,231.90,7.93,121.13,4.14
98,Entry Short,Entry Short,2020-06-13 04:00,237.49,12.307,-51.20,-1.75,-2812.67,-0.05,236.54,8.09,115.69,3.96
